asv,tier,gpu_n,edlib_n,gpu_reps,edlib_reps,gpu_anchor,gpu_anchor_species,edlib_anchor,edlib_anchor_species,gpu_anchor_edlib_rank,gpu_reps_in_edlib_top20,gpu_reps_total,gpu_rep_edlib_ranks,genome_set_identical,species_set_identical,anchor_genome_match,anchor_species_match,jaccard_genome
016fa797236db441417c96f55f929969,genus,1,1,2599941.21,2599941.21,2599941.21,Oligoflexia bacterium,2599941.21,Oligoflexia bacterium,1,1,1,1,True,True,True,True,1.0
01a7c19fe64d4300e6e5a8a7280a10bb,species,2,2,1194168.15|225991.76,1194168.15|225991.76,1194168.15,Comamonas jiangduensis,1194168.15,Comamonas jiangduensis,1,2,2,1|2,True,True,True,True,1.0
01e6385565684b446c620b0be139197b,species,0,0,,,,,,,,0,0,,,,,,
0201ad826209ed7fb2b6de607f76957e,genus,1,1,1134406.9,1134406.9,1134406.9,Ornatilinea apprima,1134406.9,Ornatilinea apprima,1,1,1,1,True,True,True,True,1.0
0203cb85481b6a76d794ca9f1001c499,genus,1,1,422285.13,422285.13,422285.13,uncultured candidate division WWE3 bacterium,422285.13,uncultured candidate division WWE3 bacterium,1,1,1,1,True,True,True,True,1.0
024ff7a3d8178eb2902938d9b3559288,species,2,2,2518612.91|152507.2422,2518612.91|152507.2422,2518612.91,Candidatus Nanopelagicales bacterium,2518612.91,Candidatus Nanopelagicales bacterium,1,2,2,1|2,True,True,True,True,1.0
026170bed2fa94c8277a5244500b93cd,genus,1,1,2818590.3,2818590.3,2818590.3,Microcoleus sp. AT13-A5,2818590.3,Microcoleus sp. AT13-A5,2,1,1,2,True,True,True,True,1.0
026600da36b900cf6ff6ee481b90793a,species,1,1,1977087.4351,1977087.4351,1977087.4351,Pseudomonadota bacterium,1977087.4351,Pseudomonadota bacterium,2,1,1,2,True,True,True,True,1.0
027118164bf6cedbd3fbb210686cc4a4,genus,1,1,2052143.440,2052143.440,2052143.440,Anaerolineae bacterium,2052143.440,Anaerolineae bacterium,1,1,1,1,True,True,True,True,1.0
027867aaaa14717d1963e634425f886e,genus,1,1,91750.4498,91750.4498,91750.4498,uncultured Alphaproteobacteria bacterium,91750.4498,uncultured Alphaproteobacteria bacterium,1,1,1,1,True,True,True,True,1.0
02969019e96fef0fe3e2f02f38316afa,family,2,2,100233.310|2052164.214,100233.310|2052164.214,100233.310,uncultured Planctomycetaceae bacterium,100233.310,uncultured Planctomycetaceae bacterium,1,2,2,1|3,True,True,True,True,1.0
02b7af11150741f6de128690c4aa3340,species,2,2,2518612.307|1869339.418,2518612.307|1869339.418,2518612.307,Candidatus Nanopelagicales bacterium,2518612.307,Candidatus Nanopelagicales bacterium,1,2,2,1|2,True,True,True,True,1.0
02ba8019542c93b74df972fc25fe10af,species,1,1,1872668.87,1872668.87,1872668.87,Azonexus sp.,1872668.87,Azonexus sp.,1,1,1,1,True,True,True,True,1.0
02da44e500ade6eb6bd919f883d0dd32,family,1,1,2073117.45,2073117.45,2073117.45,Anaerolineales bacterium,2073117.45,Anaerolineales bacterium,1,1,1,1,True,True,True,True,1.0
02f9493dbcd235f6075e0e3ae622c7ca,genus,1,1,188475.3,188475.3,188475.3,uncultured Holophaga sp.,188475.3,uncultured Holophaga sp.,1,1,1,1,True,True,True,True,1.0
030b136dcdd837ecdce0a7a95adc2d56,species,1,1,2026780.437,2026780.437,2026780.437,Planctomycetota bacterium,2026780.437,Planctomycetota bacterium,1,1,1,1,True,True,True,True,1.0
03174ff6cb4a5f7bcc5b7e4ef924c60e,species,2,2,3142262.4|1134435.5,3142262.4|1134435.5,3142262.4,Thauera sp. JM12B12,3142262.4,Thauera sp. JM12B12,1,2,2,1|2,True,True,True,True,1.0
032641f730d95c79b76dd4cbae0c246d,species,1,1,1852931.3,1852931.3,1852931.3,Verrucomicrobia bacterium ADurb.Bin474,1852931.3,Verrucomicrobia bacterium ADurb.Bin474,1,1,1,1,True,True,True,True,1.0
033af4ac7057fa72e75b20588418c9ce,genus,1,1,2053589.824,2053589.824,2053589.824,Minisyncoccota bacterium,2053589.824,Minisyncoccota bacterium,1,1,1,1,True,True,True,True,1.0
034e485b2f313e4a9185045f02cc7220,genus,1,1,2484252.86,2484252.86,2484252.86,Myxococcaceae bacterium,2484252.86,Myxococcaceae bacterium,1,1,1,1,True,True,True,True,1.0
0352c42e74bd96a671fe5854263a5f5e,species,1,1,66852.198,66852.198,66852.198,Methanobrevibacter sp.,66852.198,Methanobrevibacter sp.,1,1,1,1,True,True,True,True,1.0
038885272dbaefde0423e01959faac01,family,1,1,332614.293,332614.293,332614.293,uncultured Pseudomonadales bacterium,332614.293,uncultured Pseudomonadales bacterium,1,1,1,1,True,True,True,True,1.0
039bd133ce59253899414b6c8ba6d67e,genus,1,1,2053306.284,2053306.284,2053306.284,Ignavibacteria bacterium,2053306.284,Ignavibacteria bacterium,1,1,1,1,True,True,True,True,1.0
039cb9ac8d5af2c99ca408814ddc77d1,species,2,2,3142262.4|1134435.5,3142262.4|1134435.5,3142262.4,Thauera sp. JM12B12,3142262.4,Thauera sp. JM12B12,1,2,2,1|2,True,True,True,True,1.0
03ba4c458f3389eca8eb21b22290ed10,species,2,2,2026735.1906|2660714.16,2026735.1906|2660714.16,2026735.1906,Deltaproteobacteria bacterium,2026735.1906,Deltaproteobacteria bacterium,1,2,2,1|2,True,True,True,True,1.0
03bed64096e13e23200fd80d0ae715cb,family,2,2,2890869.72|1869227.779,2890869.72|1869227.779,2890869.72,Candidatus Saccharimonadia bacterium,2890869.72,Candidatus Saccharimonadia bacterium,1,2,2,1|2,True,True,True,True,1.0
03d60eb1912411d9516686d1c0e8d77a,species,2,2,3142262.4|1134435.5,3142262.4|1134435.5,3142262.4,Thauera sp. JM12B12,3142262.4,Thauera sp. JM12B12,1,2,2,1|2,True,True,True,True,1.0
03ed5312cd679b937d3c7931ab12461a,family,2,2,2052143.1141|2024896.394,2052143.1141|2024896.394,2052143.1141,Anaerolineae bacterium,2052143.1141,Anaerolineae bacterium,2,2,2,2|1,True,True,True,True,1.0
03f4e6a353b02382d205f0d832831e81,species,2,2,879969.11|1869227.4377,879969.11|1869227.4377,879969.11,Macellibacteroides fermentans,879969.11,Macellibacteroides fermentans,1,2,2,1|6,True,True,True,True,1.0
03f77fdbf7ce18584760066d1364d36c,genus,1,1,179883.460,179883.460,179883.460,uncultured Candidatus Saccharibacteria bacterium,179883.460,uncultured Candidatus Saccharibacteria bacterium,1,1,1,1,True,True,True,True,1.0
03fd988de7a0981d1db2c0b6d206c259,genus,2,2,2026715.109|1913988.46,2026715.109|1913988.46,2026715.109,Pseudobdellovibrionaceae bacterium,2026715.109,Pseudobdellovibrionaceae bacterium,1,2,2,1|2,True,True,True,True,1.0
040c74eae6a3629f697268413ded437a,genus,1,1,2891943.3,2891943.3,2891943.3,,2891943.3,,1,1,1,1,True,True,True,False,1.0
042ad52e2c8d4dce2d2cc2e796463849,genus,1,1,913024.3,913024.3,913024.3,Paenimyroides ummariense,913024.3,Paenimyroides ummariense,1,1,1,1,True,True,True,True,1.0
0435b3a5879a68e5afbc66915ecda61d,species,1,1,2026729.16,2026729.16,2026729.16,Cytophagaceae bacterium,2026729.16,Cytophagaceae bacterium,1,1,1,1,True,True,True,True,1.0
04790f5aba82b91059a546812ad694dc,species,1,1,1488331.4,1488331.4,1488331.4,Fusibacter bizertensis,1488331.4,Fusibacter bizertensis,2,1,1,2,True,True,True,True,1.0
0480b6a16673d25ac01d1da0b2833512,species,1,1,153809.1471,153809.1471,153809.1471,uncultured Pseudomonadota bacterium,153809.1471,uncultured Pseudomonadota bacterium,1,1,1,1,True,True,True,True,1.0
0493af645ecdf91cff6896ec5d5aca21,below,0,0,,,,,,,,0,0,,,,,,
049a47aba1aa118b203038be18526b1b,species,2,2,2053306.302|1948670.3,2053306.302|1948670.3,2053306.302,Ignavibacteria bacterium,2053306.302,Ignavibacteria bacterium,1,2,2,1|4,True,True,True,True,1.0
049e6f182990799b700d79450499710f,species,2,2,106592.67|2613773.3,106592.67|2613773.3,106592.67,Ensifer adhaerens,106592.67,Ensifer adhaerens,1,2,2,1|2,True,True,True,True,1.0
04bc2a095282907ef4df7a2a9447166f,species,2,2,2599941.90|2024896.83,2599941.90|2024896.83,2599941.90,Oligoflexia bacterium,2599941.90,Oligoflexia bacterium,1,2,2,1|2,True,True,True,True,1.0
04c76aef3814297a297700d39de56c6c,genus,3,3,1898206.19|1977087.4365|2044940.237,1898206.19|1977087.4365|2044940.237,1898206.19,Spirochaetaceae bacterium,1898206.19,Spirochaetaceae bacterium,2,3,3,2|3|4,True,True,True,True,1.0
04cf15134dd14ddeb54a2e95c09d4349,species,1,1,1513896.4,1513896.4,1513896.4,Sphingobacterium nematocida,1513896.4,Sphingobacterium nematocida,1,1,1,1,True,True,True,True,1.0
04dee080600d54204c5137107b0f3bc7,family,2,2,430679.7|1855335.3,430679.7|1855335.3,430679.7,Nitratireductor kimnyeongensis,430679.7,Nitratireductor kimnyeongensis,1,2,2,1|3,True,True,True,True,1.0
04f5c0bee93d6ee05c38c74e0bc674ce,species,2,2,267.50|1263728.4,267.50|1263728.4,267.50,Paracoccus sp. (in: a-proteobacteria),267.50,Paracoccus sp. (in: a-proteobacteria),1,2,2,1|2,True,True,True,True,1.0
04f675d15a1bc17e4b7e8c7893e1a816,genus,1,1,2212468.23,2212468.23,2212468.23,Bryobacteraceae bacterium,2212468.23,Bryobacteraceae bacterium,1,1,1,1,True,True,True,True,1.0
04f9300ab6041a85696e8ea5a232b1cb,species,2,2,392593.4|2795030.3,392593.4|2795030.3,392593.4,Inhella inkyongensis,392593.4,Inhella inkyongensis,1,2,2,1|2,True,True,True,True,1.0
0501fa310449443c35bacacdd60bbf34,species,2,2,2053538.110|2026780.1498,2053538.110|2026780.1498,2053538.110,Candidatus Competibacteraceae bacterium,2053538.110,Candidatus Competibacteraceae bacterium,2,2,2,2|5,True,True,True,True,1.0
0502fdd9c919fd2982a93b66cda6697d,below,0,0,,,,,,,,0,0,,,,,,
051d14c7d7e9a5358e8da8a52b48bca3,genus,1,1,1965019.3,1965019.3,1965019.3,Geofilum rhodophaeum,1965019.3,Geofilum rhodophaeum,1,1,1,1,True,True,True,True,1.0
0522f424a0ae2c7f046c5bcafebbc0ca,species,2,2,77133.18342|2073117.928,77133.18342|2073117.928,77133.18342,uncultured bacterium,77133.18342,uncultured bacterium,1,2,2,1|3,True,True,True,True,1.0
0528c8d6cf081ba719cf96cb550150fb,species,2,2,2908002.3|1872668.59,2908002.3|1872668.59,2908002.3,Dechloromonas hankyongensis,2908002.3,Dechloromonas hankyongensis,1,2,2,1|2,True,True,True,True,1.0
053bd1513e7a8fbb621acfa37d09c4b2,below,0,0,,,,,,,,0,0,,,,,,
05797ff5d08a4c360d45bd689238c2f1,below,0,0,,,,,,,,0,0,,,,,,
057bcefe7d185d0daf7b610144b1fa59,species,2,2,2482790.55|1672391.683,2482790.55|1672391.683,2482790.55,Thermomicrobiales bacterium,2482790.55,Thermomicrobiales bacterium,1,2,2,1|3,True,True,True,True,1.0
05b92f31a7635c80f9228282dfe2b96b,family,1,1,2026724.1150,2026724.1150,2026724.1150,Chloroflexota bacterium,2026724.1150,Chloroflexota bacterium,1,1,1,1,True,True,True,True,1.0
05c2b2196ce76f5eab58355bd11f5964,genus,1,1,2044595.218,2044595.218,2044595.218,Candidatus Altimarinota bacterium,2044595.218,Candidatus Altimarinota bacterium,1,1,1,1,True,True,True,True,1.0
05fd476024a64f2da18888c8cd557724,species,1,1,2448779.36,2448779.36,2448779.36,Chitinophagales bacterium,2448779.36,Chitinophagales bacterium,1,1,1,1,True,True,True,True,1.0
060668a761747dc3cbb3600cf5edeb83,genus,2,2,2035772.1192|100371.179,2035772.1192|100371.179,2035772.1192,Candidatus Omnitrophota bacterium,2035772.1192,Candidatus Omnitrophota bacterium,2,2,2,2|1,True,True,True,True,1.0
0620149226837b0dc24e722a745740cf,species,1,1,2026779.942,2026779.942,2026779.942,Planctomycetaceae bacterium,2026779.942,Planctomycetaceae bacterium,1,1,1,1,True,True,True,True,1.0
06288435b328d35994bcc8f72ea0fc3a,species,1,1,1898104.640,1898104.640,1898104.640,Bacteroidota bacterium,1898104.640,Bacteroidota bacterium,1,1,1,1,True,True,True,True,1.0
062e7dbc610b8b01dd84f42a754d5060,species,1,1,1869212.1133,1869212.1133,1869212.1133,Chitinophagaceae bacterium,1869212.1133,Chitinophagaceae bacterium,1,1,1,1,True,True,True,True,1.0
063669beab0e471ace7cbc32283416e9,species,1,1,1871086.331,1871086.331,1871086.331,Brevundimonas sp.,1871086.331,Brevundimonas sp.,1,1,1,1,True,True,True,True,1.0
0639fb06d056d80fbc504c42c4169a68,family,1,1,2051041.3,2051041.3,2051041.3,Ravibacter arvi,2051041.3,Ravibacter arvi,1,1,1,1,True,True,True,True,1.0
063e3c61d923929c5cba4b90a947805a,species,0,0,,,,,,,,0,0,,,,,,
065262b748557031f638872e76923c72,species,1,1,1977087.1560,1977087.1560,1977087.1560,Pseudomonadota bacterium,1977087.1560,Pseudomonadota bacterium,1,1,1,1,True,True,True,True,1.0
0654e615fe3e9b0487505848dc4dbb78,species,1,1,1913961.66,1913961.66,1913961.66,Rhizobiaceae bacterium,1913961.66,Rhizobiaceae bacterium,1,1,1,1,True,True,True,True,1.0
065a98742b20d730265fb45221fd34c4,species,2,2,1490030.4|1715645.3,1490030.4|1715645.3,1490030.4,Paracoccus lutimaris,1490030.4,Paracoccus lutimaris,1,2,2,1|2,True,True,True,True,1.0
06894625cc4725640c9c1bba0d9aefc8,species,1,1,2499141.287,2499141.287,2499141.287,Verrucomicrobiia bacterium,2499141.287,Verrucomicrobiia bacterium,1,1,1,1,True,True,True,True,1.0
06c4ab89a8abc60620b11d6b8eea8592,species,1,1,2497619.239,2497619.239,2497619.239,Ilumatobacteraceae bacterium,2497619.239,Ilumatobacteraceae bacterium,1,1,1,1,True,True,True,True,1.0
06ccbfa9dbe3fb9fac793fe2c480825c,genus,1,1,1134406.9,1134406.9,1134406.9,Ornatilinea apprima,1134406.9,Ornatilinea apprima,1,1,1,1,True,True,True,True,1.0
06d64517fda152cd491385c24677d09a,species,0,0,,,,,,,,0,0,,,,,,
06e148ad8b35489ea97e51ef733e9550,species,2,2,879969.11|1869227.4377,879969.11|1869227.4377,879969.11,Macellibacteroides fermentans,879969.11,Macellibacteroides fermentans,1,2,2,1|6,True,True,True,True,1.0
06e4bf90950ed9dead32a26e0b26aa88,family,1,1,2053517.215,2053517.215,2053517.215,Bdellovibrionales bacterium,2053517.215,Bdellovibrionales bacterium,1,1,1,1,True,True,True,True,1.0
06e777dc86f294846df60a1bdcfe6530,genus,1,1,2053589.824,2053589.824,2053589.824,Minisyncoccota bacterium,2053589.824,Minisyncoccota bacterium,1,1,1,1,True,True,True,True,1.0
06f43456e63206281ba1162e4e6d66d4,genus,2,2,1913989.2461|65786.20,1913989.2461|65786.20,1913989.2461,Gammaproteobacteria bacterium,1913989.2461,Gammaproteobacteria bacterium,1,2,2,1|2,True,True,True,True,1.0
06f8906355750050f44895281f3523fb,species,2,2,3034145.3|2805397.5,3034145.3|2805397.5,3034145.3,Daejeonella sp. H1SJ63,3034145.3,Daejeonella sp. H1SJ63,1,2,2,1|2,True,True,True,True,1.0
0706c8897410dc86c4fe695f43953448,genus,1,1,2052176.23,2052176.23,2052176.23,Parachlamydiaceae bacterium,2052176.23,Parachlamydiaceae bacterium,1,1,1,1,True,True,True,True,1.0
070f6743fd9c43985346d7912cd11526,species,1,1,1913989.6082,1913989.6082,1913989.6082,Gammaproteobacteria bacterium,1913989.6082,Gammaproteobacteria bacterium,1,1,1,1,True,True,True,True,1.0
0717fa5cad93ab5cb1a3e9929e7014c1,species,1,1,2026741.100,2026741.100,2026741.100,Gemmatimonadaceae bacterium,2026741.100,Gemmatimonadaceae bacterium,1,1,1,1,True,True,True,True,1.0
071b20ea2fe191bc56e1001e3c3ef244,species,2,2,2053538.110|2026780.1498,2053538.110|2026780.1498,2053538.110,Candidatus Competibacteraceae bacterium,2053538.110,Candidatus Competibacteraceae bacterium,2,2,2,2|5,True,True,True,True,1.0
07246a1fc2c2fed9e54374f5ee46c333,species,2,2,622664.3|2030808.360,622664.3|2030808.360,622664.3,Ornithinibacter aureus,622664.3,Ornithinibacter aureus,1,2,2,1|2,True,True,True,True,1.0
0740074747aaa37414ce56733c3f3259,species,2,2,2053538.110|2026780.1498,2053538.110|2026780.1498,2053538.110,Candidatus Competibacteraceae bacterium,2053538.110,Candidatus Competibacteraceae bacterium,2,2,2,2|5,True,True,True,True,1.0
074805110994d976b97dcfaeb0ad4352,species,1,1,39441.6,39441.6,39441.6,Methanobrevibacter arboriphilus,39441.6,Methanobrevibacter arboriphilus,1,1,1,1,True,True,True,True,1.0
07640d1fcdb6b920c0b4257f7c9c028e,species,1,1,2268199.15,2268199.15,2268199.15,Polyangiaceae bacterium,2268199.15,Polyangiaceae bacterium,1,1,1,1,True,True,True,True,1.0
0770fd1ca9e37cef3ffdf1ba2abc344f,species,1,1,1672391.187,1672391.187,1672391.187,uncultured Chloroflexia bacterium,1672391.187,uncultured Chloroflexia bacterium,1,1,1,1,True,True,True,True,1.0
07c181c387580192eace1408605a1b7c,family,2,2,758823.6|1977087.1722,758823.6|1977087.1722,758823.6,Vampirovibrio chlorellavorus,758823.6,Vampirovibrio chlorellavorus,3,2,2,3|2,True,True,True,True,1.0
07c684ece86de1b12bf432870683e62b,species,1,1,627688.3,627688.3,627688.3,Sphingobium subterraneum,627688.3,Sphingobium subterraneum,1,1,1,1,True,True,True,True,1.0
07d3708e3046a2846a0b1cc67846a658,species,1,1,1973496.3,1973496.3,1973496.3,Herpetosiphon gulosus,1973496.3,Herpetosiphon gulosus,1,1,1,1,True,True,True,True,1.0
07d8bf1afa43126d7ab9ca4fefad8259,species,1,1,2818473.28,2818473.28,2818473.28,Giesbergeria sp.,2818473.28,Giesbergeria sp.,1,1,1,1,True,True,True,True,1.0
0803dcf438801c4492629e7ca94cca2e,family,2,2,174390.8|1480694.8,174390.8|1480694.8,174390.8,uncultured Spirochaeta sp.,174390.8,uncultured Spirochaeta sp.,2,2,2,2|1,True,True,True,True,1.0
080c84745ca48dd0e7ef7580df83bafb,genus,1,1,1965019.3,1965019.3,1965019.3,Geofilum rhodophaeum,1965019.3,Geofilum rhodophaeum,1,1,1,1,True,True,True,True,1.0
0814110fd0410b6f675526dc4d4a32fb,species,2,2,2724150.3|1115758.5,2724150.3|1115758.5,2724150.3,Romboutsia sp. CE17,2724150.3,Romboutsia sp. CE17,1,2,2,1|2,True,True,True,True,1.0
081f8228264f0575df0146e28439e003,family,1,1,1879010.10762,1879010.10762,1879010.10762,Bacillota bacterium,1879010.10762,Bacillota bacterium,1,1,1,1,True,True,True,True,1.0
0823828b2221b4beaeefdd50d8fed560,family,1,1,2218522.4,2218522.4,2218522.4,Candidatus Termititenax spirochaetophilus,2218522.4,Candidatus Termititenax spirochaetophilus,1,1,1,1,True,True,True,True,1.0
082b496c934ad5588dc586bb303faaa2,family,2,2,2053538.110|2800415.27,2053538.110|2800415.27,2053538.110,Candidatus Competibacteraceae bacterium,2053538.110,Candidatus Competibacteraceae bacterium,2,2,2,2|8,True,True,True,True,1.0
084030429e088059ae5059384cda46eb,genus,2,2,3350173.3|1843235.6,3350173.3|1843235.6,3350173.3,Pedobacter sp. UC225_65,3350173.3,Pedobacter sp. UC225_65,4,2,2,4|1,True,True,True,True,1.0
08409eb55d39ef45b31d93c3d30fd901,genus,1,1,157466.59,157466.59,157466.59,uncultured Armatimonadota bacterium,157466.59,uncultured Armatimonadota bacterium,1,1,1,1,True,True,True,True,1.0
08511b3b442d76f7c9485dde8b381b03,genus,1,1,147047.3,147047.3,147047.3,Humidesulfovibrio mexicanus,147047.3,Humidesulfovibrio mexicanus,1,1,1,1,True,True,True,True,1.0
088ee4c48bc3cb0ca751d3c465b56453,species,2,2,2053306.302|1948670.3,2053306.302|1948670.3,2053306.302,Ignavibacteria bacterium,2053306.302,Ignavibacteria bacterium,1,2,2,1|4,True,True,True,True,1.0
08b11eeb13a43fb517114963b350df70,species,2,2,2717303.8|2202734.717,2717303.8|2202734.717,2717303.8,Haliscomenobacter sp.,2717303.8,Haliscomenobacter sp.,1,2,2,1|2,True,True,True,True,1.0
08d10673b70f3d8b078a149a25d94b19,species,1,1,1869212.530,1869212.530,1869212.530,Chitinophagaceae bacterium,1869212.530,Chitinophagaceae bacterium,2,1,1,2,True,True,True,True,1.0
08ea1c9b9d368cd6d9bfeb8857e90315,species,1,1,3122438.3,3122438.3,3122438.3,Limnospira platensis,3122438.3,Limnospira platensis,1,1,1,1,True,True,True,True,1.0
08f430e113701ebb008a1c63622e9e5e,genus,1,1,157466.59,157466.59,157466.59,uncultured Armatimonadota bacterium,157466.59,uncultured Armatimonadota bacterium,1,1,1,1,True,True,True,True,1.0
08fe91d1fc29f781441a80383cb6644a,species,1,1,2821509.17,2821509.17,2821509.17,Agriterribacter sp.,2821509.17,Agriterribacter sp.,1,1,1,1,True,True,True,True,1.0
09116b7e2b89e63e7af83a0a9f8c5371,species,2,2,1982626.24|29348.109,1982626.24|29348.109,1982626.24,Faecalibacillus intestinalis,1982626.24,Faecalibacillus intestinalis,1,2,2,1|12,True,True,True,True,1.0
092a1e06d547999a906e5d843b2d57e7,species,2,2,2561924.3|13160.39,2561924.3|13160.39,2561924.3,Brevundimonas sp. MF30-B,2561924.3,Brevundimonas sp. MF30-B,2,2,2,2|3,True,True,True,True,1.0
092ab99df8cd76432d44a186cbced262,genus,1,1,1672391.413,1672391.413,1672391.413,uncultured Chloroflexia bacterium,1672391.413,uncultured Chloroflexia bacterium,2,1,1,2,True,True,True,True,1.0
09304de7bcdde93714df6d4800a79b4d,species,2,2,2282142.84|3096110.3,2282142.84|3096110.3,2282142.84,Terriglobales bacterium,2282142.84,Terriglobales bacterium,1,2,2,1|2,True,True,True,True,1.0
09383f3babfd32418e7ba07634680e12,species,1,1,2003582.3,2003582.3,2003582.3,Pannonibacter sp. P2PFMT1,2003582.3,Pannonibacter sp. P2PFMT1,1,1,1,1,True,True,True,True,1.0
0945c17acd293a5bc6d625db7f51d0ea,species,2,2,2053306.302|1948670.3,2053306.302|1948670.3,2053306.302,Ignavibacteria bacterium,2053306.302,Ignavibacteria bacterium,1,2,2,1|4,True,True,True,True,1.0
094e43a918ebb6f77d4644cc89b65a3e,family,1,1,2512173.3,2512173.3,2512173.3,Larkinella sp. BK230,2512173.3,Larkinella sp. BK230,1,1,1,1,True,True,True,True,1.0
09524b82b18b3d05eab6a0c597aa330e,species,2,2,2053538.110|2026780.1498,2053538.110|2026780.1498,2053538.110,Candidatus Competibacteraceae bacterium,2053538.110,Candidatus Competibacteraceae bacterium,2,2,2,2|5,True,True,True,True,1.0
095d063518c5d084d54aa006cf20cef4,genus,1,1,2927946.13,2927946.13,2927946.13,Catalimonadaceae bacterium,2927946.13,Catalimonadaceae bacterium,1,1,1,1,True,True,True,True,1.0
09627ab39adbbbc48a07456c71d0c6bb,species,1,1,3064664.20,3064664.20,3064664.20,Candidatus Cloacimonadaceae bacterium,3064664.20,Candidatus Cloacimonadaceae bacterium,1,1,1,1,True,True,True,True,1.0
0973dc17a02cb230dc1f93877c92c56a,family,1,1,77133.6008,77133.6008,77133.6008,uncultured bacterium,77133.6008,uncultured bacterium,1,1,1,1,True,True,True,True,1.0
098b49f814da592396a6a3fd0961e8d4,species,2,2,2486418.3|2817731.3,2486418.3|2817731.3,2486418.3,Pseudotabrizicola sediminis,2486418.3,Pseudotabrizicola sediminis,1,2,2,1|2,True,True,True,True,1.0
