asv,best_cosine,n_old_genomes,genome_top1,taxon_top1,genus_top1,genome_top5,taxon_top5,genus_top5,genome_top20,taxon_top20,genus_top20,genome_top50,taxon_top50,genus_top50,genome_top100,taxon_top100,genus_top100
93fadef301b62aa732e42bf1142b3afa,0.9995,1,True,True,,True,True,,True,True,,True,True,,True,True,
da47a34fd036b068ca0c5eaf185e2082,0.9985,9,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True
765b69d9c4313cc8630769db523cc54c,1.0,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e9e060e5e0e46911cad92b8292aeefd7,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
29b313a5262947210e3e9de415abaead,1.0,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ea156f972cd3802c3fac147e4200ba7a,0.9976,1,False,False,,False,False,,False,False,,False,False,,False,False,
01bc6f144e0f577c7a5364ebafdb3509,0.9976,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
3343d19c0bc1759a66023cbc86c92592,0.9995,7,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
0709277372b3816e3986842fb10c8e96,0.9995,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a82691ab5fd4e8d3d3b23b7958c8e764,0.9937,30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
181a2b6fbc1d5f5de022772f08fb875c,0.998,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
28f1a500a5a6ebd1cede9322b50bcaad,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
5976a56adfe903f7348b5eb5689e3c55,0.9976,14,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
ff6f97ce50ea01298f8e58b53b97d489,1.0,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
499a635c6e7dcd5c8ef518302aa50011,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4b50be28c2cc7c6a4dbc6300155c5218,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19463e5fe824700110e4a4ec8afe0512,0.9995,1,True,True,,True,True,,True,True,,True,True,,True,True,
cd05a4b1cda569ae366c6980823f4c72,0.998,21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
c7553191e309cfc2e28aea2507e7afdf,0.9995,4,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9feda0d620fa50b57ce3f848e1b48975,1.0,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
07e00e1bcc9d9a3c50591f721785e591,0.9951,11,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
28b5f35cfb5f0516e5e5f896428abdcd,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
113b0d8ebf97fc5aba85fa06ecfdbb1a,0.998,2,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
cd1f95189b8375347f827f4a8b08dcf7,0.9995,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
793ecb5ed65cd96425a35698e8ab9e78,0.9995,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1f4fb4bfdca6c9d13106ed533362a62e,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e8e82cf023a3abd684fe7e817acc9bf0,0.9995,1,True,True,,True,True,,True,True,,True,True,,True,True,
5631fe818e588992529f6071afc9cda5,0.9971,8,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True
deb262fd92af4fdcd3b6240303048b2a,0.9995,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
58b2cf308363fb35b932620518786116,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
abaecd8b82d14efc7ccc4dcb7f864cba,1.0,5,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
b4eac52cfa36ce63f24be2fc530ad204,0.9995,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
f63e76a4ce2cd0f7f39e8195d8302dcf,1.0,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
d863bc6a2fa6a8a93787e45a6abe3304,0.9995,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
52708c2cfa926ba9b2f69878c97cee2c,1.0,11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
efbade8cc54695abfc5c07f21eecb6e7,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
bb617d32673d5f60d6216a07ad7a42bc,0.9995,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
206069e5a5041e6c7f39a4141aefdc19,0.9985,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a49becf5a5dbcb201f091757c62fc6bb,0.9995,3,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
d02e8e093df5064814273f652473189e,0.998,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
d48429274cd09a4257ad8b24c009e8fd,0.9961,5,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True
0b736ddea36ed16291fa058fe28061f8,0.9951,8,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True
7d537f12eaa3231c2c2b58b74901051c,0.9956,1,True,True,,True,True,,True,True,,True,True,,True,True,
5cb2b4186e2e95521540e2ccbafcb4c9,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
659d1fe872c9b31a9e0b81eef5ca6218,0.9976,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a43c475502b54cdee1385dcca3109bfe,1.0,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e1382120e151d51cb3b3b6900845f1c8,0.9995,1,True,True,,True,True,,True,True,,True,True,,True,True,
19083703874fec5c0e976f6ca4fa6bc9,0.9995,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
868a2dd217365ddd6d6ab64d48aeed4a,0.9956,22,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
21ceeb224e15175f0c85797abce40d0a,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
de329304e57f0e32da3a08e64625a2e1,0.998,2,False,False,,True,True,,True,True,,True,True,,True,True,
dc9b83b9dbf521d0d0b0e1576e44d06a,0.9897,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3badde1c4760a921d723409ee05fead0,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
09383f3babfd32418e7ba07634680e12,0.9995,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
66575db7635d648549a9eb5a4eafb710,0.9951,12,True,True,,True,True,,True,True,,True,True,,True,True,
df94cb7c1f51d6e7df4a969d561b0a4d,1.0,3,True,True,,True,True,,True,True,,True,True,,True,True,
3679eb1918d142d7e468ea32c2f42595,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ac9e79a82beb3b70c0c7193fff0a8524,0.998,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ec716420b2bb28ff5cfc5b19edbe2dfa,1.0,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cb08126894ac0c8eeddc7b86d1ab1eb9,0.998,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
42655605abb4cc7bd5f1be954adf23b0,0.9966,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b47908de018aea1744738eba767e1034,0.9995,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6e50cfec46931f3d8e0af8e75af55b43,0.9976,2,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
0eff2f70a09cbdfd1a1684adcb990931,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
f876e4d5cbaa6ac5f3c225bcaf146791,0.9932,11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
dcc552ee0bfe584a9f79fd3d7893047f,0.998,2,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
b180a2455b236c103cf0bfe620095736,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5040d210b906c738569bf1c3505ad558,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
c05932b0e9b0bcf5f076c8971c6bab60,0.9961,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
db5aaacffe4ca31116f5b0e292074588,0.9966,15,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
212e304679f170a464d2616b3f94a250,1.0,2,True,True,,True,True,,True,True,,True,True,,True,True,
e1c573f885ed4c9191a32116f583d78a,0.9941,10,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
3487ee381e9bba57861b67ac3936d665,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
89dfaf0aa4a8af8e27a826ba8dd97044,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e357ec372ce3fdd9cc473b8f57edc002,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
acb819d2b09f090ba6c3112028bbc54b,1.0,2,True,True,,True,True,,True,True,,True,True,,True,True,
492422c8881f2e782fccb0225f1c68ab,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8db3a14ae839a3bee50b9a192c59f8f9,0.998,1,True,True,,True,True,,True,True,,True,True,,True,True,
01a7c19fe64d4300e6e5a8a7280a10bb,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8ebc39e79a930b5db089420489c40543,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6075255b58efbd350ad34112f80f970a,0.9971,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0e9cc4c909306f5a9562d84888902e09,0.9951,8,True,True,,True,True,,True,True,,True,True,,True,True,
b26eb5a5ca6820d220d5433b1cffa5e6,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7f1023e871bcd3a4f7ac96f3a40c9a8d,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
afd6038f44400cf165c3d637f88be98a,0.999,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
894d5f2608f2a0e9e3bf2499f1cc6130,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
496ed1835247fa310353bd53160fad4a,0.9971,1,True,True,,True,True,,True,True,,True,True,,True,True,
6dfb10e6d92b2c7ec87175ad560bed2e,1.0,24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
d96a2ea1b09f080f66ce79b9ddfa768e,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
5a6520a634bb27352c524ba237fd0d64,0.9985,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
f59f09ec54e73f740708fa68eeb78a8c,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
08ea1c9b9d368cd6d9bfeb8857e90315,0.9995,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0f312394fc32d16cfdca183b11aad4ad,1.0,8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0c488eee4c6d02abb4e34df3ec16a09b,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
c39f594d9d2493b66260c1f7503e5ea1,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
acfe0924c0f9c6ca3720854b5b458d54,1.0,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e79a45f432d0ccc86adbf9bbe7cef2a7,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e4486fa2f00016fa6078468bfe73bb89,1.0,12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4ced6b735a53af484d0cf4f620846dcd,0.9951,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ab2050607cb3fe172ea918d5a17a46c7,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
02809af9a001c44a58624822e0e44569,0.998,2,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
69dee006368ff49af541d111152b40c6,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
d3156233792852376762d588f607ac71,0.998,1,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True
e6141036b0768b50c8079ce8ba7222f9,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4f3989d95e7611bb6b5307454d75d3ce,0.9985,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
1d4b9f3ddf33afdf5308213897846090,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
1d33e98c9d94c262ab0d8b56d0936eb4,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
179e72f0ecdfeb920df685432f3f2d1a,0.9995,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a27f37aae2a34101f8a61c6f0b1cd246,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
00e66df34e257e501593d8fab7b76b0d,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0d1f62d4f2f7227766a17f0340567129,0.998,1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
8c86a02bd0f2c7a90bb40b735577a623,0.9976,21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8c740d5ca21893b47c7619df1247c75d,0.9985,1,True,True,,True,True,,True,True,,True,True,,True,True,
e1abbababbc410f2f1faa24f6ccbc7f9,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3d34374d81a96ce4972b93ef5dae9b82,0.9985,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0f4c04cefd226f6854ad0fbc2a2de226,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
99daab1404e1c027be5dce96473d53ab,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
945e47119242497c2e0bc5b3c6b6ba8e,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a19152d55f42fc72a3a0f985d2615aab,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1ad05a58bf23396d80f11695ad750b75,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4835c874610f20a02421b283dbe2f2b6,0.999,1,True,True,,True,True,,True,True,,True,True,,True,True,
60da7a21ae2997bc70a9730fd8151a29,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2c452b25c7f3c62be462d8f47ed179e3,0.999,3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
0138936a169c4a0914606cedbcd38fa6,0.999,1,False,False,,True,True,,True,True,,True,True,,True,True,
15c0fe41b25c6504b8dbe48ae72283d0,1.0,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
09304de7bcdde93714df6d4800a79b4d,1.0,9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
f42aeaf1c13130f1fdfc8bafa43ded29,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a53b7a494838590a5600a018277e55ea,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
dbbd92eb5552c552aab4544c331ac6e2,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
c88944b6267ea10d43d5ee264d29ae94,0.9985,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
a01649ff3a222398d49af46d04781535,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
d081020b6bdf3bf279b93bd42598e1e1,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fd28148d0cd2eca274f8a3bb38944793,0.998,2,False,False,,False,False,,False,False,,True,True,,True,True,
aa9c5ae2ec6da55f30edd92e3de37eff,0.9995,10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0e487ab2d5669f87e21a4c0c09d8d952,0.9951,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
f61f4c9b8258738ad3ee7663e43e7907,0.998,8,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
924ba8e00fb9f76de6bf217aac8ca9d4,0.9941,11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
76ef356d895e6434580f18ab74a63e6c,0.9912,2,False,False,,False,False,,False,False,,False,False,,False,False,
4e4ca97fadb8b8e92470ccce2ff91460,0.999,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b65ddb808f41ed58f0a87829f790124c,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
5ab9c9baf340ca93a35be10b4a5b294a,1.0,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
80b0dd7e363e6128b4335d08d57b5618,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
22a4e0f758de753ed7e9463edeed304c,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fe74d2e267ad3ebb8fbfe24bbb464049,0.9951,5,False,True,,False,True,,True,True,,True,True,,True,True,
1f1ff56fd37c5c9b1a9ac7b1d99e10b0,0.999,4,False,True,,True,True,,True,True,,True,True,,True,True,
ebef4f7d86a3b71b870100599f233ff8,0.9985,11,True,True,,True,True,,True,True,,True,True,,True,True,
2e707ae206fd30644537a8329e2b9476,0.998,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
49d8ed77132802ef1ad7036f31e0117a,0.9971,13,True,True,,True,True,,True,True,,True,True,,True,True,
4c7b0d554a1103b7872deded4bccb4ea,0.9961,23,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
619ac3ad257e70633292af469a960d56,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2b7dca9f823dab555a368d87f194804f,0.999,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
5ec4e02584b8c58b33bde92395188ffa,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3fb688a9024c5d9e0c97cf7a6859063a,0.9961,15,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True
a6efdb52a04e05a2a1be52f5516784fa,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22958f01426d8f1fe3f4922e13710669,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
826b2dad200d99cccec78d01acb38da4,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b757c414a3bc227758c09624ca177986,0.9976,5,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
3e524f0bf09623c8530930bb8b27045c,0.9995,1,True,True,,True,True,,True,True,,True,True,,True,True,
10ba1c6a051a49b25b443bebd244b71c,0.9995,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7b43b24e8c817bba9f0008696985ae06,0.9888,7,False,False,,True,True,,True,True,,True,True,,True,True,
916d15ab17794198ea4c5ad1e3fb6258,0.9976,10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8a1c973b6094cbd560f363581ce1beba,0.9985,3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
3e09043820433588bf896d8e55bc1423,0.9985,3,True,True,,True,True,,True,True,,True,True,,True,True,
613cd0ab8ed46a361940e06efaecdb6d,0.9976,1,True,True,,True,True,,True,True,,True,True,,True,True,
495cc889a2e82868482b1feb2f71fbd0,1.0,2,False,True,,True,True,,True,True,,True,True,,True,True,
2b335f368deba69c6c95c18da31dc5f4,1.0,9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6a00993959cfffcd3e54203b0cb659a2,0.9995,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
33e423de05448134722fcf4bd6a224d7,0.999,9,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
8a4c692c01077fa5a93913725097b3bc,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
62e1d1dac671aff6e6dc206418fd79c6,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9b6a7459b2c92cee0abfc36d503488b7,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
34bd302b38c473a6dc69875818ebfb23,0.9912,20,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True
87db021bd3fb687eba7b420338158435,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
54e41d7748bdb8fe71a73a47ad58423e,0.9995,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
50bef0776b442d38fe4de5a83b9187a8,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7b35a5b1674bbaefc9af01283da529c1,0.9995,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
33ee5a4f23a0bf945ce5b4ffa11feef5,1.0,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
05771e0f1c5425fc486934e2beb87956,0.9976,14,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
164212c0910ca9770a6bd13bcb2c5d05,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
94ef08db649a5339b6de95109a8bad0f,1.0,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ee14afe4571845779465f8dc9646c7b4,0.9976,6,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True
669b72740b8bed1bcedbdbaa4b8be1e7,0.9976,21,True,True,,True,True,,True,True,,True,True,,True,True,
201a9f507c9b354eb162adf1f311c607,1.0,2,True,True,,True,True,,True,True,,True,True,,True,True,
405648482a348320fe4470fddebb64c6,0.9985,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
34bc76cd76ea83cf74430a3bbb56ac82,0.9985,10,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True
9cef27fb5c42d04a7e949300061958c1,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
9c90a0c962c8b6283f7a71b644fce90c,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
b5b93f7fc3d0a88dff0ced83eb0bb5ab,0.9956,7,True,True,,True,True,,True,True,,True,True,,True,True,
5837405da6036e7481240160de143774,0.9956,16,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True
7a7c96429cd038c333985399c9eb963c,1.0,1,True,True,,True,True,,True,True,,True,True,,True,True,
1351e87aa6c89a114e5104be8fe7c817,1.0,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
213ec0ef843de45b3db9302876229bed,1.0,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
197c1736a92b42d2671a7ea927a9d7d8,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e94618b44f9856c9a2151cab1800a460,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44f513ba8d222b088ba2ad6e7ab85b8c,0.9995,49,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
9795a55dde06c4761698039cf60bd637,0.9985,1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
aa20c972229ba580ad2044118ab67181,1.0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9e54e8d50785a84f97b38e3eb665dda0,0.9985,1,False,False,,False,True,,True,True,,True,True,,True,True,
b78bdac2d66434f67db2a71b6f893639,0.998,1,False,False,,False,False,,True,True,,True,True,,True,True,
0baae4d70749907f3e1f9be33a159e80,0.9961,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
d5e86e0fe7c13c5751606c96f3788345,0.998,17,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
bc15f0e20879b79188fa5ea9e191428c,1.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
f0f5fe3a3ccc66ce7e67e82294654107,0.998,1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
daac17ca54538cbc9aada8497262da96,0.9956,1,True,True,,True,True,,True,True,,True,True,,True,True,
50285c59a58cda2d889cb954c022a93a,0.9995,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1d837cc6d80881adecbb106f01c1b042,0.9985,1,True,True,,True,True,,True,True,,True,True,,True,True,
3ade0fa13e56aac194bb3373200d6def,1.0,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
6178807a00a64843e5bb9f31f0a5f42c,0.9961,1,False,False,,False,True,,False,True,,False,True,,True,True,
